Coin Name,Alternative Name,Short Name,Classification,Start Date,Scam Date
FTX Token,,FTT,Scam,2019-08-01,2022-11-07
Terra Luna Classic,Terra Classic,LUNC,Scam,2019-07-27,2022-05-08
BeerCoin,,BEER,Scam,2024-05-27,2024-06-24
BitForex,,BF,Scam,2019-08-31,2024-03-05
Bitcoin,,BTC,Non-Scam,2010-07-14,
Ethereum,,ETH,Non-Scam,2015-08-08,
Cosmos,,ATOM,Non-Scam,2019-03-15,
Avalanche,,AVAX,Non-Scam,2020-09-23,
Safe Moon,,SAFEMOON,Scam,2022-01-17,2023-10-31
Teddy Doge,,TEDDY V2,Scam,2022-06-28,2022-07-21
STOA Network,,STA,Scam,2021-12-28,2022-07-17
Chainlink,,LINK,Non-Scam,2017-10-01,
THORChain,,RUNE,Non-Scam,2019-07-24,
